STATE,STATE_STATUTE,DMV_WEBSITE
Alabama,Code of Alabama,https://www.alea.gov/dps/driver-license
Alaska,Alaska Statutes,https://dmv.alaska.gov
Arizona,Arizona Revised Statutes,https://azdot.gov/mvd
Arkansas,Arkansas Code,https://www.dfa.arkansas.gov/office/mydmv/
California,California Code,www.dmv.ca.gov
Colorado,Colorado Revised Statutes,https://dmv.colorado.gov/
Connecticut,,
Delaware,,
Florida,,
Georgia,,
Hawaii,,
Idaho,,
Illinois,,
Indiana,,
Iowa,,
Kansas,,
Kentucky,,
Louisiana,,
Maine,,
Maryland,,
Massachusetts,,
Michigan,,
Minnesota,,
Mississippi,,
Missouri,,
Montana,,
Nebraska,,
Nevada,,
New Hampshire,,
New Jersey,,
New Mexico,,
New York,,
North Carolina,,
North Dakota,,
Ohio,,
Oklahoma,,
Oregon,,
Pennsylvania,,
Rhode Island,,
South Carolina,,
South Dakota,,
Tennessee,,
Texas,,
Utah,,
Vermont,,
Virginia,,
Washington,,
West Virginia,,
Wisconsin,,
Wyoming,,
District of Columbia,,
